tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt6214722,movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,0,2018,,97,"Biography,Documentary,History",7.8,1818
tt6214928,movie,1922,1922,0,2017,,102,"Crime,Drama,Horror",6.2,78904
tt6215044,movie,Oceans Rising,Oceans Rising,0,2017,,87,"Action,Adventure,Drama",2.5,2237
tt6215208,movie,Allure,Allure,0,2017,,105,"Drama,Romance,Thriller",5.1,2413
tt6215588,movie,Negar,Negar,0,2017,,93,"Action,Crime,Drama",5.2,1209
tt6215712,movie,Ajin: Demi-Human,Ajin,0,2017,,109,"Action,Horror,Mystery",6.4,2354
tt6215910,movie,Görümce,Görümce,0,2016,,109,"Comedy,Romance",5.1,4102
tt6217306,movie,Apostle,Apostle,0,2018,,130,"Drama,Fantasy,Horror",6.3,66556
tt6217564,movie,5 in the Afternoon,Saat Panj é asr,0,2017,,90,"Comedy,Drama",5.0,5406
tt6217608,movie,The Rider,The Rider,0,2017,,104,"Drama,Western",7.4,22219
tt6217664,movie,Chavela,Chavela,0,2017,,93,"Biography,Documentary,History",7.7,1267
tt6217724,movie,Axing,Darkoob,0,2018,,91,Drama,5.7,1025
tt6217804,movie,Boo 2! A Madea Halloween,Tyler Perry's Boo 2! A Madea Halloween,0,2017,,101,"Comedy,Drama,Horror",4.1,5876
tt6217926,movie,Annette,Annette,0,2021,,141,"Drama,Musical,Romance",6.3,24395
tt6218010,movie,Iron Mask,Tayna pechati drakona,0,2019,,120,"Action,Adventure,Fantasy",4.8,10350
tt6218358,movie,Calibre,Calibre,0,2018,,101,"Drama,Thriller",6.8,38841
tt6218776,movie,Bridge of Sleep,Pole Khaab,0,2016,,90,"Crime,Drama",4.9,4347
tt6219314,movie,The Party's Just Beginning,The Party's Just Beginning,0,2018,,91,"Comedy,Drama",6.1,2638
tt6220752,movie,Pledge,Pledge,0,2018,,77,"Horror,Mystery,Thriller",5.4,4057
tt6221000,movie,Godha,Godha,0,2017,,120,"Comedy,Drama,Sport",7.5,3192
tt6221540,movie,The Christ Slayer,The Christ Slayer,0,2019,,115,Drama,3.2,1348
tt6222118,movie,The Doorman,The Doorman,0,2020,,97,"Action,Adventure,Crime",4.7,9223
tt6222286,movie,Perfect,Perfect,0,2018,,88,"Horror,Mystery,Sci-Fi",3.9,1357
tt6223806,movie,Under the Tree,Undir trénu,0,2017,,89,"Comedy,Drama,Thriller",6.8,5908
tt6223974,movie,The Farthest,The Farthest,0,2017,,121,"Documentary,History",8.1,4909
tt6224502,movie,Boarding School,Boarding School,0,2018,,111,"Horror,Mystery,Thriller",5.9,4357
tt6225520,movie,The Man Who Invented Christmas,The Man Who Invented Christmas,0,2017,,104,"Biography,Comedy,Drama",7.0,22125
tt6229030,movie,Killing God,Matar a Dios,0,2017,,92,"Comedy,Horror,Mystery",6.2,1655
tt6229252,movie,Midday Adventures,Majaray Nimrooz,0,2017,,111,"Action,Drama,History",6.7,3894
tt6229652,movie,Benim Adim Feridun,Benim Adim Feridun,0,2016,,111,"Comedy,Drama,Romance",5.3,1452
tt6229786,movie,Roza of Smyrna,I Roza tis Smyrnis,0,2016,,97,"Drama,Romance",6.6,2287
tt6229852,movie,Deli Ask,Deli Ask,0,2017,,104,"Comedy,Romance",5.4,3437
tt6233882,movie,Behind the Blue Door,Za niebieskimi drzwiami,0,2016,,99,"Adventure,Family,Fantasy",5.5,1260
tt6237268,movie,Ride,Ride,0,2018,,79,"Crime,Horror,Thriller",4.6,2588
tt6237612,movie,Accident Man,Accident Man,0,2018,,105,"Action,Adventure,Comedy",6.2,15486
tt6237966,movie,Thaanaa Serndha Koottam,Thaanaa Serndha Koottam,0,2018,,138,"Action,Comedy,Crime",6.3,6848
